CoverageID,MaterialID,Domain,Status,Finding
C00001,M004,Grades,Resolved,"eSUN PLA-Lite recorded 2026-09-13 as G004-01, a technical grade sample for this generic entry. The earlier PLA Pure lead remains rejected; no Bambu product is implied."
C00002,M008,Grades,Resolved,"Polymaker Panchroma Silk PLA recorded 2026-09-13 as G008-01, a technical grade sample of a silk-effect PLA. The original product and Bambu PLA Silk+ are not substituted."
C00003,M019,Composition,Conflict,"Unresolved 2026-09-11. The iSANMATE source is robots-disallowed and could not be re-read; no independent composition declaration for an iSANMATE PLA-GF filament was found. The glass-fibre heading vs carbon-fibre description contradiction stands and composition is still not resolved. Action: request a composition declaration from iSANMATE, or confirm by ash / TGA on purchased filament. Note the other PLA-GF grade in this entry (Polymaker HT-PLA-GF) is unaffected. Checked 2026-09-11: the four newly supplied iSANMATE/FormFutura PDFs (PETG, CF-ABS, TPU, PET) are unrelated products and do not bear on the PLA-GF glass/carbon question. Still open."
C00004,M019,Grades,Gap,"2 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00005,M025,Grades,Gap,2 distinct manufacturer(s) documented against target 3. Eryone PETG-GF (G025-02) added 2026-09-13 as the representative grade.
C00006,M029,Grades,Gap,"2 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00007,M030,Grades,Gap,"2 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00008,M034,Grades,Evidence recorded,"4 distinct manufacturer(s) documented against target 3. IPCON ASA GF (G034-03, representative) and Flashforge ASAGF10 (G034-04) added 2026-09-13."
C00009,M038,Grades,Superseded,"Superseded by C01113 (2026-09-14; was ""Gap""): 2 distinct manufacturer(s) documented against target 3 after the 2026-09-13 audit. One additional independent exact formulation remains desirable."
C00010,M039,Grades,Gap,"2 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00011,M044,Grades,Not applicable,"Family entry since 2026-09-13: no product of its own. TPE is a family entry for thermoplastic elastomers: TPU (all grades), PEBA, TPC / TPEE, OBC."
C00012,M045,Grades,Superseded,"Superseded by C01114 (2026-09-14; was ""Resolved""): 3 distinct manufacturer(s) documented after adding Kimya PEBA-S on 2026-09-13."
C00013,M046,Grades,Gap,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00014,M049,Grades,Gap,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00015,M052,Grades,Gap,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00016,M054,Grades,Gap,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00017,M055,Grades,Gap,"No exact, verified commercial-grade technical profile obtained. Identity preserved; adjacent materials not substituted."
C00018,M056,Grades,Gap,"No exact, verified commercial-grade technical profile obtained. Identity preserved; adjacent materials not substituted."
C00019,M057,Grades,Gap,"2 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00020,M058,Grades,Gap,"No exact, verified commercial-grade technical profile obtained. Identity preserved; adjacent materials not substituted."
C00021,M059,Grades,Gap,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00022,M060,Grades,Gap,"No exact, verified commercial-grade technical profile obtained. Identity preserved; adjacent materials not substituted."
C00023,M061,Grades,Not applicable,"Family entry since 2026-09-13: no product of its own. CoPA is an alias of PA6/66: both products it held are nylon 6 and 6,6 copolymers."
C00024,M063,Grades,Not applicable,"Family entry since 2026-09-13: no product of its own. PA-GF is a family entry for glass-fibre polyamides: PA6-GF, PA12-GF, PA612-GF."
C00025,M064,Grades,Gap,1 distinct manufacturer(s) documented against target 3. Fiberon PA612-ESD (G064-02) duplicated PA612-ESD and was retired 2026-09-13.
C00026,M065,Grades,Gap,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
